URL,HomeTeam,HomeGoals,AwayTeam,AwayGoals
https://soccer365.ru/games/2153594/,Спарта Прага,2,Мальмё,0
https://soccer365.ru/games/2153595/,Славия Прага,2,Лилль,1
https://soccer365.ru/games/2153596/,Ред Булл Зальцбург,1,Динамо Киев,1
https://soccer365.ru/games/2174435/,Ман Сити,0,Интер,0
https://soccer365.ru/games/2174436/,ПСЖ,4,Ман Сити,2
https://soccer365.ru/games/2174437/,Ман Сити,3,Брюгге,1
https://soccer365.ru/games/2174438/,Ювентус,2,Ман Сити,0
https://soccer365.ru/games/2174439/,Ман Сити,3,Фейеноорд,3
https://soccer365.ru/games/2174440/,Спортинг Лиссабон,4,Ман Сити,1
https://soccer365.ru/games/2174441/,Ман Сити,5,Спарта Прага,0
https://soccer365.ru/games/2174442/,Слован Братислава,0,Ман Сити,4
https://soccer365.ru/games/2174443/,Интер,1,РБ Лейпциг,0
https://soccer365.ru/games/2174444/,Интер,1,Арсенал,0
https://soccer365.ru/games/2174445/,Байер,1,Интер,0
https://soccer365.ru/games/2174446/,Интер,4,Црвена Звезда,0
https://soccer365.ru/games/2174447/,Янг Бойз,0,Интер,1
https://soccer365.ru/games/2174448/,Интер,3,Монако,0
https://soccer365.ru/games/2174449/,Спарта Прага,0,Интер,1
https://soccer365.ru/games/2174450/,Бавария,1,ПСЖ,0
https://soccer365.ru/games/2174451/,Барселона,4,Бавария,1
https://soccer365.ru/games/2174452/,Бавария,1,Бенфика,0
https://soccer365.ru/games/2174453/,Шахтер,1,Бавария,5
https://soccer365.ru/games/2174454/,Бавария,9,Динамо Загреб,2
https://soccer365.ru/games/2174455/,Фейеноорд,3,Бавария,0
https://soccer365.ru/games/2174456/,Бавария,3,Слован Братислава,1
https://soccer365.ru/games/2174457/,Астон Вилла,1,Бавария,0
https://soccer365.ru/games/2174458/,РБ Лейпциг,0,Ливерпуль,1
https://soccer365.ru/games/2174459/,РБ Лейпциг,2,Ювентус,3
https://soccer365.ru/games/2174460/,Атлетико Мадрид,2,РБ Лейпциг,1
https://soccer365.ru/games/2174461/,РБ Лейпциг,2,Спортинг Лиссабон,1
https://soccer365.ru/games/2174462/,Селтик,3,РБ Лейпциг,1
https://soccer365.ru/games/2174463/,РБ Лейпциг,2,Астон Вилла,3
https://soccer365.ru/games/2174464/,Штурм Грац,1,РБ Лейпциг,0
https://soccer365.ru/games/2174465/,Боруссия Дортмунд,2,Барселона,3
https://soccer365.ru/games/2174466/,Реал Мадрид,5,Боруссия Дортмунд,2
https://soccer365.ru/games/2174467/,Боруссия Дортмунд,3,Шахтер,1
https://soccer365.ru/games/2174468/,Брюгге,0,Боруссия Дортмунд,3
https://soccer365.ru/games/2174469/,Боруссия Дортмунд,7,Селтик,1
https://soccer365.ru/games/2174470/,Динамо Загреб,0,Боруссия Дортмунд,3
https://soccer365.ru/games/2174471/,Боруссия Дортмунд,1,Штурм Грац,0
https://soccer365.ru/games/2174472/,Болонья,2,Боруссия Дортмунд,1
https://soccer365.ru/games/2174473/,Барселона,2,Аталанта,2
https://soccer365.ru/games/2174474/,Бенфика,4,Барселона,5
https://soccer365.ru/games/2174475/,Барселона,5,Янг Бойз,0
https://soccer365.ru/games/2174476/,Црвена Звезда,2,Барселона,5
https://soccer365.ru/games/2174477/,Барселона,3,Брест,0
https://soccer365.ru/games/2174478/,Монако,2,Барселона,1
https://soccer365.ru/games/2174479/,Ливерпуль,2,Реал Мадрид,0
https://soccer365.ru/games/2174480/,Реал Мадрид,1,Милан,3
https://soccer365.ru/games/2174481/,Аталанта,2,Реал Мадрид,3
https://soccer365.ru/games/2174482/,Реал Мадрид,5,Ред Булл Зальцбург,1
https://soccer365.ru/games/2174483/,Лилль,1,Реал Мадрид,0
https://soccer365.ru/games/2174484/,Реал Мадрид,3,Штутгарт,1
https://soccer365.ru/games/2174485/,Брест,0,Реал Мадрид,3
https://soccer365.ru/games/2174486/,Ливерпуль,4,Байер,0
https://soccer365.ru/games/2174487/,Милан,1,Ливерпуль,3
https://soccer365.ru/games/2174488/,Ливерпуль,2,Лилль,1
https://soccer365.ru/games/2174489/,ПСВ,3,Ливерпуль,2
https://soccer365.ru/games/2174490/,Ливерпуль,2,Болонья,0
https://soccer365.ru/games/2174491/,Жирона,0,Ливерпуль,1
https://soccer365.ru/games/2174492/,Байер,1,Милан,0
https://soccer365.ru/games/2174493/,Атлетико Мадрид,2,Байер,1
https://soccer365.ru/games/2174494/,Байер,5,Ред Булл Зальцбург,0
https://soccer365.ru/games/2174495/,Фейеноорд,0,Байер,4
https://soccer365.ru/games/2174496/,Байер,2,Спарта Прага,0
https://soccer365.ru/games/2174497/,Брест,1,Байер,1
https://soccer365.ru/games/2174498/,ПСЖ,1,Атлетико Мадрид,2
https://soccer365.ru/games/2174499/,Бенфика,4,Атлетико Мадрид,0
https://soccer365.ru/games/2174500/,Атлетико Мадрид,1,Лилль,3
https://soccer365.ru/games/2174501/,Ред Булл Зальцбург,1,Атлетико Мадрид,4
https://soccer365.ru/games/2174502/,Атлетико Мадрид,3,Слован Братислава,1
https://soccer365.ru/games/2174503/,Спарта Прага,0,Атлетико Мадрид,6
https://soccer365.ru/games/2174504/,Арсенал,2,ПСЖ,0
https://soccer365.ru/games/2174505/,ПСЖ,1,ПСВ,1
https://soccer365.ru/games/2174506/,Ред Булл Зальцбург,0,ПСЖ,3
https://soccer365.ru/games/2174507/,ПСЖ,1,Жирона,0
https://soccer365.ru/games/2174508/,Штутгарт,1,ПСЖ,4
https://soccer365.ru/games/2174509/,Аталанта,0,Арсенал,0
https://soccer365.ru/games/2174510/,Шахтер,0,Аталанта,3
https://soccer365.ru/games/2174511/,Аталанта,0,Селтик,0
https://soccer365.ru/games/2174512/,Янг Бойз,1,Аталанта,6
https://soccer365.ru/games/2174513/,Аталанта,5,Штурм Грац,0
https://soccer365.ru/games/2174514/,Штутгарт,0,Аталанта,2
https://soccer365.ru/games/2174515/,Ювентус,0,Бенфика,2
https://soccer365.ru/games/2174516/,Брюгге,0,Ювентус,0
https://soccer365.ru/games/2174517/,Ювентус,3,ПСВ,1
https://soccer365.ru/games/2174518/,Лилль,1,Ювентус,1
https://soccer365.ru/games/2174519/,Ювентус,0,Штутгарт,1
https://soccer365.ru/games/2174520/,Астон Вилла,0,Ювентус,0
https://soccer365.ru/games/2174521/,Бенфика,1,Фейеноорд,3
https://soccer365.ru/games/2174522/,Црвена Звезда,1,Бенфика,2
https://soccer365.ru/games/2174523/,Бенфика,0,Болонья,0
https://soccer365.ru/games/2174524/,Монако,2,Бенфика,3
https://soccer365.ru/games/2174525/,Арсенал,1,Шахтер,0
https://soccer365.ru/games/2174526/,Арсенал,3,Динамо Загреб,0
https://soccer365.ru/games/2174527/,Спортинг Лиссабон,1,Арсенал,5
https://soccer365.ru/games/2174528/,Арсенал,3,Монако,0
https://soccer365.ru/games/2174529/,Жирона,1,Арсенал,2
https://soccer365.ru/games/2174530/,Милан,3,Брюгге,1
https://soccer365.ru/games/2174531/,Брюгге,2,Спортинг Лиссабон,1
https://soccer365.ru/games/2174532/,Селтик,1,Брюгге,1
https://soccer365.ru/games/2174533/,Брюгге,1,Астон Вилла,0
https://soccer365.ru/games/2174534/,Штурм Грац,0,Брюгге,1
https://soccer365.ru/games/2174535/,Шахтер,2,Янг Бойз,1
https://soccer365.ru/games/2174536/,ПСВ,3,Шахтер,2
https://soccer365.ru/games/2174537/,Шахтер,2,Брест,0
https://soccer365.ru/games/2174538/,Болонья,0,Шахтер,0
https://soccer365.ru/games/2174539/,Милан,2,Црвена Звезда,1
https://soccer365.ru/games/2174540/,Динамо Загреб,2,Милан,1
https://soccer365.ru/games/2174541/,Милан,1,Жирона,0
https://soccer365.ru/games/2174542/,Слован Братислава,2,Милан,3
https://soccer365.ru/games/2174543/,Фейеноорд,1,Ред Булл Зальцбург,3
https://soccer365.ru/games/2174544/,Лилль,6,Фейеноорд,1
https://soccer365.ru/games/2174545/,Фейеноорд,4,Спарта Прага,2
https://soccer365.ru/games/2174546/,Жирона,2,Фейеноорд,3
https://soccer365.ru/games/2174547/,Спортинг Лиссабон,2,Лилль,0
https://soccer365.ru/games/2174548/,ПСВ,1,Спортинг Лиссабон,1
https://soccer365.ru/games/2174549/,Спортинг Лиссабон,1,Болонья,1
https://soccer365.ru/games/2174550/,Штурм Грац,0,Спортинг Лиссабон,2
https://soccer365.ru/games/2174551/,Црвена Звезда,2,ПСВ,3
https://soccer365.ru/games/2174552/,ПСВ,4,Жирона,0
https://soccer365.ru/games/2174553/,Брест,1,ПСВ,0
https://soccer365.ru/games/2174554/,Динамо Загреб,0,Селтик,0
https://soccer365.ru/games/2174555/,Ред Булл Зальцбург,0,Динамо Загреб,2
https://soccer365.ru/games/2174556/,Динамо Загреб,2,Монако,2
https://soccer365.ru/games/2174557/,Слован Братислава,1,Динамо Загреб,4
https://soccer365.ru/games/2174558/,Ред Булл Зальцбург,0,Брест,4
https://soccer365.ru/games/2174559/,Спарта Прага,3,Ред Булл Зальцбург,0
https://soccer365.ru/games/2174560/,Лилль,3,Штурм Грац,2
https://soccer365.ru/games/2174561/,Болонья,1,Лилль,2
https://soccer365.ru/games/2174563/,Црвена Звезда,5,Штутгарт,1
https://soccer365.ru/games/2174564/,Монако,5,Црвена Звезда,1
https://soccer365.ru/games/2174565/,Селтик,1,Янг Бойз,0
https://soccer365.ru/games/2174566/,Янг Бойз,0,Астон Вилла,3
https://soccer365.ru/games/2174567/,Штутгарт,5,Янг Бойз,1
https://soccer365.ru/games/2174568/,Селтик,5,Слован Братислава,1
https://soccer365.ru/games/2174569/,Астон Вилла,4,Селтик,2
https://soccer365.ru/games/2174570/,Слован Братислава,1,Штутгарт,3
https://soccer365.ru/games/2174571/,Жирона,2,Слован Братислава,0
https://soccer365.ru/games/2174572/,Монако,1,Астон Вилла,0
https://soccer365.ru/games/2174573/,Болонья,0,Монако,1
https://soccer365.ru/games/2174574/,Спарта Прага,1,Брест,2
https://soccer365.ru/games/2174575/,Штутгарт,1,Спарта Прага,1
https://soccer365.ru/games/2174576/,Астон Вилла,2,Болонья,0
https://soccer365.ru/games/2174577/,Штурм Грац,1,Жирона,0
https://soccer365.ru/games/2174578/,Брест,2,Штурм Грац,1
https://soccer365.ru/games/2225238/,Брюгге,2,Аталанта,1
https://soccer365.ru/games/2225239/,Спортинг Лиссабон,0,Боруссия Дортмунд,3
https://soccer365.ru/games/2225240/,Ман Сити,2,Реал Мадрид,3
https://soccer365.ru/games/2225241/,Селтик,1,Бавария,2
https://soccer365.ru/games/2225242/,Ювентус,2,ПСВ,1
https://soccer365.ru/games/2225243/,Фейеноорд,1,Милан,0
https://soccer365.ru/games/2225244/,Брест,0,ПСЖ,3
https://soccer365.ru/games/2225245/,Монако,0,Бенфика,1
https://soccer365.ru/games/2225246/,Аталанта,1,Брюгге,3
https://soccer365.ru/games/2225247/,Боруссия Дортмунд,0,Спортинг Лиссабон,0
https://soccer365.ru/games/2225248/,Реал Мадрид,3,Ман Сити,1
https://soccer365.ru/games/2225249/,Бавария,1,Селтик,1
https://soccer365.ru/games/2225250/,ПСВ,3,Ювентус,1
https://soccer365.ru/games/2225251/,Милан,1,Фейеноорд,1
https://soccer365.ru/games/2225252/,ПСЖ,7,Брест,0
https://soccer365.ru/games/2225253/,Бенфика,3,Монако,3
https://soccer365.ru/games/2234511/,Брюгге,1,Астон Вилла,3
https://soccer365.ru/games/2234512/,Боруссия Дортмунд,1,Лилль,1
https://soccer365.ru/games/2234513/,Реал Мадрид,2,Атлетико Мадрид,1
https://soccer365.ru/games/2234514/,Бавария,3,Байер,0
https://soccer365.ru/games/2234515/,ПСВ,1,Арсенал,7
https://soccer365.ru/games/2234516/,Фейеноорд,0,Интер,2
https://soccer365.ru/games/2234517/,ПСЖ,0,Ливерпуль,1
https://soccer365.ru/games/2234518/,Бенфика,0,Барселона,1
https://soccer365.ru/games/2234519/,Астон Вилла,3,Брюгге,0
https://soccer365.ru/games/2234520/,Лилль,1,Боруссия Дортмунд,2
https://soccer365.ru/games/2234521/,Атлетико Мадрид,1,Реал Мадрид,0
https://soccer365.ru/games/2234522/,Байер,0,Бавария,2
https://soccer365.ru/games/2234523/,Арсенал,2,ПСВ,2
https://soccer365.ru/games/2234524/,Интер,2,Фейеноорд,1
https://soccer365.ru/games/2234525/,Ливерпуль,0,ПСЖ,1
https://soccer365.ru/games/2234526/,Барселона,3,Бенфика,1
https://soccer365.ru/games/2234527/,ПСЖ,3,Астон Вилла,1
https://soccer365.ru/games/2234528/,Арсенал,3,Реал Мадрид,0
https://soccer365.ru/games/2234529/,Барселона,4,Боруссия Дортмунд,0
https://soccer365.ru/games/2234530/,Бавария,1,Интер,2
https://soccer365.ru/games/2234531/,Астон Вилла,3,ПСЖ,2
https://soccer365.ru/games/2234532/,Реал Мадрид,1,Арсенал,2
https://soccer365.ru/games/2234533/,Боруссия Дортмунд,3,Барселона,1
https://soccer365.ru/games/2234534/,Интер,2,Бавария,2
https://soccer365.ru/games/2234535/,Арсенал,0,ПСЖ,1
https://soccer365.ru/games/2234536/,Барселона,3,Интер,3
https://soccer365.ru/games/2234537/,ПСЖ,2,Арсенал,1
https://soccer365.ru/games/2234538/,Интер,4,Барселона,3
https://soccer365.ru/games/15693444/,Атлетик Эскальдес,0,Будучность,3
